               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11001,            0.084542,                   0,                0.02,                 0.8,            0.066583,            0.018742,            0.065039,             0.06989,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.10792,            0.083115,                   0,                0.02,             0.93333,            0.073976,            0.019442,             0.06415,            0.070905,                   0,            0.093697,          0.00069653,          0.00069653
                   2,             0.10464,            0.079051,                   0,                0.02,             0.93333,            0.077541,             0.02328,            0.062675,            0.072544,                   0,            0.090089,           0.0010891,           0.0010891
                   3,            0.099389,            0.092369,                   0,                0.02,             0.93333,             0.10104,            0.028538,            0.060389,            0.074742,                   0,            0.086478,           0.0014777,           0.0014777
                   4,            0.092768,            0.088379,                   0,            0.052917,              0.4172,             0.12255,            0.032881,            0.057392,            0.076771,                   0,            0.082862,           0.0018624,           0.0018624
                   5,             0.08885,            0.086538,                   0,             0.15275,             0.44444,             0.19473,              0.0544,            0.055958,            0.076982,                   0,            0.079243,           0.0022431,           0.0022431
                   6,            0.090275,             0.11027,                   0,             0.27561,             0.31286,             0.26189,            0.086861,            0.053838,               0.075,                   0,             0.07562,           0.0026198,           0.0026198
                   7,            0.084213,             0.11532,                   0,             0.30921,                 0.4,             0.29636,             0.10404,            0.052501,            0.072681,                   0,            0.071993,           0.0029926,           0.0029926
                   8,            0.084527,            0.089214,                   0,             0.39764,             0.31111,              0.3817,             0.14926,             0.05081,            0.070126,                   0,            0.068361,           0.0033614,           0.0033614
                   9,            0.079002,             0.11686,                   0,             0.59449,                 0.4,             0.50892,             0.18451,            0.050478,             0.06508,                   0,            0.064726,           0.0037263,           0.0037263
                  10,            0.072686,             0.10155,                   0,             0.62479,             0.51111,             0.63101,             0.25946,            0.049062,             0.06524,                   0,            0.061087,           0.0040871,           0.0040871
                  11,            0.071317,            0.093638,                   0,             0.49668,             0.68889,              0.5722,             0.24414,            0.044034,              0.0834,                   0,            0.057444,           0.0044441,           0.0044441
                  12,            0.068224,            0.085985,                   0,             0.49668,             0.68889,              0.5722,             0.24414,            0.044034,              0.0834,                   0,            0.053797,           0.0047971,           0.0047971
                  13,            0.067349,            0.093834,                   0,             0.40396,             0.84444,             0.54675,             0.23004,            0.041108,             0.11005,                   0,            0.050146,           0.0051461,           0.0051461
                  14,            0.065989,            0.086349,                   0,             0.38409,             0.91111,             0.56911,             0.19975,            0.041118,             0.11458,                   0,            0.046491,           0.0054911,           0.0054911
                  15,            0.066485,            0.085126,                   0,             0.38409,             0.91111,             0.56911,             0.19975,            0.041118,             0.11458,                   0,            0.042832,           0.0058322,           0.0058322
                  16,            0.064164,             0.10328,                   0,             0.39471,                   1,             0.57753,             0.28503,            0.036222,             0.11425,                   0,            0.039169,           0.0061694,           0.0061694
                  17,            0.059432,            0.075105,                   0,             0.18634,             0.75323,             0.18573,            0.081461,            0.052005,              0.1028,                   0,            0.035503,           0.0065025,           0.0065025
                  18,            0.072919,            0.080621,                   0,             0.18634,             0.75323,             0.18573,            0.081461,            0.052005,              0.1028,                   0,            0.031832,           0.0068318,           0.0068318
                  19,            0.075865,            0.077377,                   0,             0.31253,             0.64444,              0.3626,             0.13776,            0.045026,            0.062408,                   0,            0.028157,            0.007157,            0.007157
                  20,            0.069786,            0.077857,                   0,             0.31253,             0.64444,              0.3626,             0.13776,            0.045026,            0.062408,                   0,            0.024478,           0.0074783,           0.0074783
                  21,             0.06644,            0.063545,                   0,             0.35929,             0.46667,             0.42238,              0.1985,             0.05448,            0.049126,                   0,            0.020796,           0.0077956,           0.0077956
                  22,            0.070287,            0.065294,                   0,             0.35929,             0.46667,             0.42238,              0.1985,             0.05448,            0.049126,                   0,            0.017109,            0.008109,            0.008109
                  23,            0.074428,            0.075875,                   0,             0.22045,             0.28889,             0.19617,            0.089619,            0.058528,            0.044901,                   0,            0.013418,           0.0084184,           0.0084184
                  24,            0.078967,            0.059436,                   0,             0.22045,             0.28889,             0.19617,            0.089619,            0.058528,            0.044901,                   0,           0.0097239,           0.0087239,           0.0087239
                  25,            0.080009,            0.062375,                   0,             0.22045,             0.28889,             0.19617,            0.089619,            0.058528,            0.044901,                   0,           0.0087625,           0.0087625,           0.0087625
                  26,            0.079941,            0.064381,                   0,             0.48731,             0.61264,              0.5218,             0.21691,            0.049645,            0.045071,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.077291,            0.066113,                   0,             0.48731,             0.61264,              0.5218,             0.21691,            0.049645,            0.045071,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.073606,            0.061821,                   0,             0.67387,             0.88889,              0.7762,             0.29591,             0.04659,            0.044406,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.063079,            0.058868,                   0,             0.67387,             0.88889,              0.7762,             0.29591,             0.04659,            0.044406,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.069354,            0.070156,                   0,             0.87848,             0.84444,             0.93046,             0.46218,            0.042614,            0.041404,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.065123,            0.059339,                   0,             0.87848,             0.84444,             0.93046,             0.46218,            0.042614,            0.041404,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.066348,            0.063497,                   0,             0.51691,             0.61828,             0.40506,            0.093451,            0.058563,            0.045942,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.076316,            0.068489,                   0,             0.51691,             0.61828,             0.40506,            0.093451,            0.058563,            0.045942,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.076964,            0.064429,                   0,             0.51691,             0.61828,             0.40506,            0.093451,            0.058563,            0.045942,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.075911,            0.073948,                   0,             0.60751,             0.73333,             0.62811,             0.13212,            0.060647,            0.046225,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.076616,             0.05316,                   0,             0.60751,             0.73333,             0.62811,             0.13212,            0.060647,            0.046225,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.069573,            0.061474,                   0,             0.59396,             0.86667,             0.81809,             0.41234,            0.043581,             0.04165,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.060706,            0.062471,                   0,             0.59396,             0.86667,             0.81809,             0.41234,            0.043581,             0.04165,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.067679,            0.061335,                   0,             0.66993,                 0.6,             0.73919,             0.33214,            0.049018,            0.043919,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.074617,            0.051792,                   0,             0.66993,                 0.6,             0.73919,             0.33214,            0.049018,            0.043919,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.076014,            0.054297,                   0,                0.41,             0.68889,             0.57481,               0.208,            0.039364,            0.041821,                   0,             0.00802,             0.00802,             0.00802
