               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10959,            0.079221,                   0,            0.020952,             0.97778,            0.082095,            0.020819,             0.10269,            0.065023,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.10863,            0.078036,                   0,               0.022,             0.73333,            0.060569,            0.017355,             0.10065,            0.066112,                   0,            0.093694,          0.00069446,          0.00069446
                   2,             0.10608,            0.075279,                   0,            0.021429,                   1,            0.081867,            0.021133,            0.097411,             0.06764,                   0,            0.090083,           0.0010826,           0.0010826
                   3,             0.10181,            0.085731,                   0,            0.020952,             0.97778,            0.090176,            0.022661,            0.091785,            0.069897,                   0,            0.086464,           0.0014644,           0.0014644
                   4,            0.095349,            0.084438,                   0,            0.020952,             0.97778,             0.09368,            0.027772,            0.083967,            0.072536,                   0,             0.08284,           0.0018398,           0.0018398
                   5,            0.093442,            0.081786,                   0,            0.081911,             0.62222,             0.13834,            0.039458,             0.07971,            0.073358,                   0,            0.079209,           0.0022089,           0.0022089
                   6,            0.094144,             0.10295,                   0,             0.33265,              0.1664,             0.21912,            0.086614,            0.075261,            0.072439,                   0,            0.075572,           0.0025717,           0.0025717
                   7,            0.089482,             0.10976,                   0,             0.33795,             0.33333,             0.26021,             0.10836,            0.072914,            0.071053,                   0,            0.071928,           0.0029281,           0.0029281
                   8,            0.085007,            0.088466,                   0,             0.41041,             0.37778,             0.37065,             0.17445,            0.069149,            0.069597,                   0,            0.068278,           0.0032782,           0.0032782
                   9,            0.083967,              0.1127,                   0,             0.48311,             0.37778,             0.49848,             0.23008,            0.066435,            0.066088,                   0,            0.064622,            0.003622,            0.003622
                  10,            0.079484,             0.09854,                   0,             0.54558,               0.507,             0.49948,             0.23776,            0.063237,            0.062338,                   0,            0.060959,           0.0039594,           0.0039594
                  11,            0.076626,            0.093171,                   0,             0.47593,             0.55556,             0.52389,             0.21162,            0.059863,            0.065091,                   0,            0.057291,           0.0042905,           0.0042905
                  12,            0.073533,            0.088966,                   0,             0.47593,             0.55556,             0.52389,             0.21162,            0.059863,            0.065091,                   0,            0.053615,           0.0046153,           0.0046153
                  13,            0.072451,            0.090259,                   0,             0.47597,             0.66667,             0.56239,             0.22735,            0.057024,            0.078494,                   0,            0.049934,           0.0049337,           0.0049337
                  14,            0.071915,              0.0821,                   0,             0.37658,             0.84444,             0.61438,             0.24713,            0.053244,            0.094762,                   0,            0.046246,           0.0052458,           0.0052458
                  15,            0.069058,            0.080343,                   0,             0.37658,             0.84444,             0.61438,             0.24713,            0.053244,            0.094762,                   0,            0.042552,           0.0055516,           0.0055516
                  16,            0.069637,             0.10032,                   0,             0.26463,             0.93333,             0.58844,             0.24294,            0.051819,             0.11504,                   0,            0.038851,            0.005851,            0.005851
                  17,            0.063732,            0.072669,                   0,             0.24003,             0.88889,             0.41006,             0.15426,            0.063151,             0.11389,                   0,            0.035144,           0.0061441,           0.0061441
                  18,            0.070749,            0.078724,                   0,             0.24003,             0.88889,             0.41006,             0.15426,            0.063151,             0.11389,                   0,            0.031431,           0.0064308,           0.0064308
                  19,            0.073395,            0.075404,                   0,              0.2317,             0.77778,             0.38072,             0.12489,            0.066397,             0.10058,                   0,            0.027711,           0.0067112,           0.0067112
                  20,            0.072195,             0.07865,                   0,              0.2317,             0.77778,             0.38072,             0.12489,            0.066397,             0.10058,                   0,            0.023985,           0.0069853,           0.0069853
                  21,            0.068454,            0.065876,                   0,             0.42101,             0.55556,             0.54396,             0.13869,            0.061982,            0.074182,                   0,            0.020253,            0.007253,            0.007253
                  22,            0.070461,            0.064638,                   0,             0.42101,             0.55556,             0.54396,             0.13869,            0.061982,            0.074182,                   0,            0.016514,           0.0075144,           0.0075144
                  23,            0.075466,            0.074096,                   0,             0.34566,             0.44444,             0.42733,             0.12951,            0.068109,            0.055137,                   0,            0.012769,           0.0077695,           0.0077695
                  24,            0.078632,            0.061485,                   0,             0.34566,             0.44444,             0.42733,             0.12951,            0.068109,            0.055137,                   0,           0.0090182,           0.0080182,           0.0080182
                  25,            0.080282,            0.063794,                   0,             0.34566,             0.44444,             0.42733,             0.12951,            0.068109,            0.055137,                   0,             0.00802,             0.00802,             0.00802
                  26,             0.07471,            0.066688,                   0,             0.51018,             0.53237,             0.57933,              0.2552,            0.058357,            0.049169,                   0,             0.00802,             0.00802,             0.00802
                  27,            0.070772,            0.068138,                   0,             0.51018,             0.53237,             0.57933,              0.2552,            0.058357,            0.049169,                   0,           0.0079408,           0.0079408,           0.0079408
                  28,            0.067525,            0.065716,                   0,             0.39397,             0.64444,             0.63472,             0.25273,            0.053968,            0.047916,                   0,           0.0078616,           0.0078616,           0.0078616
                  29,            0.060774,            0.062711,                   0,             0.39397,             0.64444,             0.63472,             0.25273,            0.053968,            0.047916,                   0,           0.0077824,           0.0077824,           0.0077824
                  30,            0.067071,            0.071743,                   0,             0.64196,             0.82222,               0.719,             0.31743,            0.056715,            0.046565,                   0,           0.0077032,           0.0077032,           0.0077032
                  31,            0.067473,            0.061389,                   0,             0.64196,             0.82222,               0.719,             0.31743,            0.056715,            0.046565,                   0,            0.007624,            0.007624,            0.007624
                  32,            0.067533,            0.065815,                   0,             0.59257,             0.75556,             0.65456,             0.30866,            0.061239,            0.045643,                   0,           0.0075448,           0.0075448,           0.0075448
                  33,            0.068262,              0.0685,                   0,             0.59257,             0.75556,             0.65456,             0.30866,            0.061239,            0.045643,                   0,           0.0074656,           0.0074656,           0.0074656
                  34,            0.069458,            0.064564,                   0,             0.59257,             0.75556,             0.65456,             0.30866,            0.061239,            0.045643,                   0,           0.0073864,           0.0073864,           0.0073864
                  35,            0.068523,            0.072431,                   0,             0.53444,             0.68889,              0.6374,             0.37376,            0.063575,            0.045353,                   0,           0.0073072,           0.0073072,           0.0073072
                  36,            0.067767,            0.053996,                   0,             0.53444,             0.68889,              0.6374,             0.37376,            0.063575,            0.045353,                   0,            0.007228,            0.007228,            0.007228
                  37,             0.06918,            0.060564,                   0,             0.51199,             0.67621,             0.58716,             0.24981,            0.061568,            0.044593,                   0,           0.0071488,           0.0071488,           0.0071488
                  38,            0.065748,            0.062848,                   0,             0.51199,             0.67621,             0.58716,             0.24981,            0.061568,            0.044593,                   0,           0.0070696,           0.0070696,           0.0070696
                  39,            0.068645,            0.063093,                   0,             0.82533,             0.84008,             0.89467,              0.4471,            0.050544,            0.044144,                   0,           0.0069904,           0.0069904,           0.0069904
